"id","code","place"
"__export__.codeine_task_1","AFG","Afganistán"
"__export__.codeine_task_2","ALB","Albania"
"__export__.codeine_task_3","DEU","Alemania"
"__export__.codeine_task_4","AND","Andorra"
"__export__.codeine_task_5","AGO","Angola"
"__export__.codeine_task_6","AIA","Anguila"
"__export__.codeine_task_7","ATG","Antigua y Barbuda"
"__export__.codeine_task_8","ANT","Antillas Neerlandesas"
"__export__.codeine_task_9","ATA","Antártida"
"__export__.codeine_task_10","SAU","Arabia Saudita"
"__export__.codeine_task_11","DZA","Argelia"
"__export__.codeine_task_12","ARG","Argentina"
"__export__.codeine_task_13","ARM","Armenia"
"__export__.codeine_task_14","ABW","Aruba"
"__export__.codeine_task_15","AUS","Australia"
"__export__.codeine_task_16","AUT","Austria"
"__export__.codeine_task_17","AZE","Azerbaiyán"
"__export__.codeine_task_18","BHS","Bahamas"
"__export__.codeine_task_19","BHR","Bahrein"
"__export__.codeine_task_20","BGD","Bangladesh"
"__export__.codeine_task_21","BRB","Barbados"
"__export__.codeine_task_22","BLZ","Belice"
"__export__.codeine_task_23","BEN","Benin"
"__export__.codeine_task_24","BMU","Bermudas"
"__export__.codeine_task_25","BTN","Bhután"
"__export__.codeine_task_26","BLR","Bielorrusia"
"__export__.codeine_task_27","BOL","Bolivia"
"__export__.codeine_task_28","BIH","Bosnia-Herzegovina"
"__export__.codeine_task_29","BWA","Botswana"
"__export__.codeine_task_30","BRA","Brasil"
"__export__.codeine_task_31","BRN","Brunéi"
"__export__.codeine_task_32","BGR","Bulgaria"
"__export__.codeine_task_33","BFA","Burkina Fasso"
"__export__.codeine_task_34","BDI","Burundi"
"__export__.codeine_task_35","BEL","Bélgica"
"__export__.codeine_task_36","CPV","Cabo Verde"
"__export__.codeine_task_37","KHM","Camboya"
"__export__.codeine_task_38","CMR","Camerún"
"__export__.codeine_task_39","CAN","Canadá"
"__export__.codeine_task_40","TCD","Chad"
"__export__.codeine_task_41","CHL","Chile"
"__export__.codeine_task_42","CHN","China"
"__export__.codeine_task_43","CYP","Chipre"
"__export__.codeine_task_44","COL","Colombia"
"__export__.codeine_task_45","COM","Comoras"
"__export__.codeine_task_46","COG","Congo, República del"
"__export__.codeine_task_47","COD","Congo, República Democrática del"
"__export__.codeine_task_48","PRK","Corea, Rep. Popular Democrática"
"__export__.codeine_task_49","KOR","Corea, República de"
"__export__.codeine_task_50","CIV","Costa de Marfil"
"__export__.codeine_task_51","CRI","Costa Rica"
"__export__.codeine_task_52","HRV","Croacia"
"__export__.codeine_task_53","CUB","Cuba"
"__export__.codeine_task_54","DNK","Dinamarca"
"__export__.codeine_task_55","DMA","Dominica"
"__export__.codeine_task_56","ECU","Ecuador"
"__export__.codeine_task_57","EGY","Egipto"
"__export__.codeine_task_58","SLV","El Salvador"
"__export__.codeine_task_59","ARE","Emiratos Arabes Unidos"
"__export__.codeine_task_60","ERI","Eritrea"
"__export__.codeine_task_61","SVK","Eslovaquia"
"__export__.codeine_task_62","SVN","Eslovenia"
"__export__.codeine_task_63","USA","Estados Unidos de América"
"__export__.codeine_task_64","EST","Estonia"
"__export__.codeine_task_65","ETH","Etiopía"
"__export__.codeine_task_66","PHL","Filipinas"
"__export__.codeine_task_67","FIN","Finlandia"
"__export__.codeine_task_68","FRA","Francia"
"__export__.codeine_task_69","GAB","Gabón"
"__export__.codeine_task_70","GMB","Gambia"
"__export__.codeine_task_71","GEO","Georgia"
"__export__.codeine_task_72","GHA","Ghana"
"__export__.codeine_task_73","GIB","Gibraltar"
"__export__.codeine_task_74","GRD","Granada"
"__export__.codeine_task_75","GRC","Grecia"
"__export__.codeine_task_76","GRL","Groenlandia"
"__export__.codeine_task_77","GLP","Guadalupe"
"__export__.codeine_task_78","GUM","Guam"
"__export__.codeine_task_79","GTM","Guatemala"
"__export__.codeine_task_80","GUF","Guayana Francesa"
"__export__.codeine_task_81","GIN","Guinea"
"__export__.codeine_task_82","GNQ","Guinea Ecuatorial"
"__export__.codeine_task_83","GNB","Guinea-Bissau"
"__export__.codeine_task_84","GUY","Guyana"
"__export__.codeine_task_85","HTI","Haití"
"__export__.codeine_task_86","HND","Honduras"
"__export__.codeine_task_87","HKG","Hong-Kong"
"__export__.codeine_task_88","HUN","Hungría"
"__export__.codeine_task_89","IND","India"
"__export__.codeine_task_90","IDN","Indonesia"
"__export__.codeine_task_91","IRQ","Irak"
"__export__.codeine_task_92","IRL","Irlanda"
"__export__.codeine_task_93","IRN","Irán"
"__export__.codeine_task_94","BVT","Isla Bouvert"
"__export__.codeine_task_95","GGY","Isla de Guernesey"
"__export__.codeine_task_96","JEY","Isla de Jersey"
"__export__.codeine_task_97","IMN","Isla de Man"
"__export__.codeine_task_98","CXR","Isla de Navidad"
"__export__.codeine_task_99","ISL","Islandia"
"__export__.codeine_task_100","CYM","Islas Caimán"
"__export__.codeine_task_101","CCK","Islas Cocos"
"__export__.codeine_task_102","COK","Islas Cook"
"__export__.codeine_task_103","FLK","Islas Falkland (Malvinas)"
"__export__.codeine_task_104","FRO","Islas Feroé"
"__export__.codeine_task_105","FJI","Islas Fidji"
"__export__.codeine_task_106","SGS","Islas Georgias del Sur y Sandwich"
"__export__.codeine_task_107","HMD","Islas Heard e Mcdonald"
"__export__.codeine_task_108","MNP","Islas Marianas del Norte"
"__export__.codeine_task_109","MHL","Islas Marshall"
"__export__.codeine_task_110","UMI","Islas Menores de EEUU"
"__export__.codeine_task_111","NFK","Islas Norfolk"
"__export__.codeine_task_112","PCN","Islas Pitcairn"
"__export__.codeine_task_113","SLB","Islas Salomón"
"__export__.codeine_task_114","TCA","Islas Turcas y Caicos"
"__export__.codeine_task_115","VGB","Islas Vírgenes Británicas"
"__export__.codeine_task_116","VIR","Islas Vírgenes de los EEUU"
"__export__.codeine_task_117","WLF","Islas Wallis y Futura"
"__export__.codeine_task_118","ALA","Islas Åland"
"__export__.codeine_task_119","ISR","Israel"
"__export__.codeine_task_120","ITA","Italia"
"__export__.codeine_task_121","JAM","Jamaica"
"__export__.codeine_task_122","JPN","Japón"
"__export__.codeine_task_123","JOR","Jordania"
"__export__.codeine_task_124","KAZ","Kazajstán"
"__export__.codeine_task_125","KEN","Kenia"
"__export__.codeine_task_126","KGZ","Kirguistán"
"__export__.codeine_task_127","KIR","Kiribati"
"__export__.codeine_task_128","KWT","Kuwait"
"__export__.codeine_task_129","LAO","Laos"
"__export__.codeine_task_130","LSO","Lesotho"
"__export__.codeine_task_131","LVA","Letonia"
"__export__.codeine_task_132","LBY","Libia"
"__export__.codeine_task_133","LBR","Libéria"
"__export__.codeine_task_134","LIE","Liechtenstein"
"__export__.codeine_task_135","LTU","Lituania"
"__export__.codeine_task_136","LUX","Luxemburgo"
"__export__.codeine_task_137","LBN","Líbano"
"__export__.codeine_task_138","MAC","Macao"
"__export__.codeine_task_139","MKD","Macedonia, ARY"
"__export__.codeine_task_140","MDG","Madagascar"
"__export__.codeine_task_141","MYS","Malasia"
"__export__.codeine_task_142","MWI","Malawi"
"__export__.codeine_task_143","MDV","Maldivas"
"__export__.codeine_task_144","MLT","Malta"
"__export__.codeine_task_145","MLI","Malí"
"__export__.codeine_task_146","MAR","Marruecos"
"__export__.codeine_task_147","MTQ","Martinica"
"__export__.codeine_task_148","MUS","Mauricio"
"__export__.codeine_task_149","MRT","Mauritania"
"__export__.codeine_task_150","MYT","Mayotte"
"__export__.codeine_task_151","FSM","Micronesia"
"__export__.codeine_task_152","MDA","Moldavia"
